id,name,chart_template_id/id
INGRESOS_POR_PUBLICIDAD_PAGADA,INGRESOS POR PUBLICIDAD PAGADA,l10n_cl_mega.cl_chart_template
INGRESOS_POR_PUBLICIDAD_CANJE,INGRESOS POR PUBLICIDAD CANJE,l10n_cl_mega.cl_chart_template
INGRESOS_POR_PUBLICIDAD_INTERNET,INGRESOS POR PUBLICIDAD INTERNET,l10n_cl_mega.cl_chart_template
INGRESOS_POR_PRESTACION_DE_SERVICIOS,INGRESOS POR PRESTACION DE SERVICIOS,l10n_cl_mega.cl_chart_template
INGRESOS_TELEFONIA_PAGADA,INGRESOS TELEFONIA PAGADA,l10n_cl_mega.cl_chart_template
INGRESOS_LICENCIAS_PAGADAS,INGRESOS LICENCIAS PAGADAS,l10n_cl_mega.cl_chart_template
INGRESOS_EVENTOS_PAGADOS,INGRESOS EVENTOS PAGADOS,l10n_cl_mega.cl_chart_template
INGRESOS_AUTOLIQUIDA_PAGADOS,INGRESOS AUTOLIQUIDA PAGADOS,l10n_cl_mega.cl_chart_template
INGRESOS_RIESGOS_PAGADOS,INGRESOS RIESGOS PAGADOS,l10n_cl_mega.cl_chart_template
INGRESOS_POR_VENTAS_DE_CONTENIDOS,INGRESOS POR VENTAS DE CONTENIDOS,l10n_cl_mega.cl_chart_template
ING_DES_PRODUCTOS_PAGADA,ING.DES.PRODUCTOS PAGADA,l10n_cl_mega.cl_chart_template
INGRESOS_POR_PUBLICIDAD_CANJE2,INGRESOS POR PUBLICIDAD CANJE,l10n_cl_mega.cl_chart_template
INGRESOS_TELEFONIA_CANJE,INGRESOS TELEFONIA CANJE,l10n_cl_mega.cl_chart_template
INGRESOS_LICENCIAS_CANJE,INGRESOS LICENCIAS CANJE,l10n_cl_mega.cl_chart_template
INGRESOS_EVENTOS_CANJE,INGRESOS EVENTOS CANJE,l10n_cl_mega.cl_chart_template
INGRESOS_AUTOLIQUIDA_CANJE,INGRESOS AUTOLIQUIDA CANJE,l10n_cl_mega.cl_chart_template
INGRESOS_RIESGOS_CANJE,INGRESOS RIESGOS CANJE,l10n_cl_mega.cl_chart_template
INGRESOS_PROY__MULTIPLATAFORMAS_PAGADA,INGRESOS PROY. MULTIPLATAFORMAS PAGADA,l10n_cl_mega.cl_chart_template
INGRESOS_PROY__MULTIPLATAFORMAS_CANJE,INGRESOS PROY. MULTIPLATAFORMAS CANJE,l10n_cl_mega.cl_chart_template
